,ticker,secShortName,tradeDate,turnoverVol,turnoverValue
7615,300556,丝路视觉,2018-01-18,5535514,133411499.64
7616,300556,丝路视觉,2018-01-19,7246126,183371162.27
7617,300556,丝路视觉,2018-01-22,4168161,100265752.19
7618,300556,丝路视觉,2018-01-23,3195790,76644327.55
7619,300556,丝路视觉,2018-01-24,5401074,132328021.56
7620,300556,丝路视觉,2018-01-25,5376252,136389126.16
7621,300556,丝路视觉,2018-01-26,3172000,77100711.9
7622,300556,丝路视觉,2018-01-29,2631001,62063455.75
7623,300556,丝路视觉,2018-01-30,1630839,37998707.76
7624,300556,丝路视觉,2018-01-31,3642520,77498738.88
7625,300556,丝路视觉,2018-02-01,2793820,55384960.4
7626,300556,丝路视觉,2018-02-02,1766758,34374731.74
7627,300556,丝路视觉,2018-02-05,1216874,23272376.18
7628,300556,丝路视觉,2018-02-06,2143735,38488671.86
7629,300556,丝路视觉,2018-02-07,1548400,27021647.0
7630,300556,丝路视觉,2018-02-08,1184500,20993418.0
7631,300556,丝路视觉,2018-02-09,1316019,22842829.26
7632,300556,丝路视觉,2018-02-12,1220600,21796143.0
7633,300556,丝路视觉,2018-02-13,1133100,20179170.0
7634,300556,丝路视觉,2018-02-14,657838,11503534.72
7635,300556,丝路视觉,2018-02-22,842700,15022111.0
7636,300556,丝路视觉,2018-02-23,1030327,18501498.08
7637,300556,丝路视觉,2018-02-26,1896174,35417538.32
7638,300556,丝路视觉,2018-02-27,1750303,33234095.69
7639,300556,丝路视觉,2018-02-28,1370288,25896596.13
7640,300556,丝路视觉,2018-03-01,2289885,44429294.49
7641,300556,丝路视觉,2018-03-02,1690540,33104118.3
7642,300556,丝路视觉,2018-03-05,1727722,34045790.86
7643,300556,丝路视觉,2018-03-06,2007100,40306777.15
7644,300556,丝路视觉,2018-03-07,2055826,41559355.0
7645,300556,丝路视觉,2018-03-08,4319289,92455119.29
7646,300556,丝路视觉,2018-03-09,745637,18156260.95
7647,300556,丝路视觉,2018-03-12,8728063,233824294.77
7648,300556,丝路视觉,2018-03-13,13840336,376322378.35
7649,300556,丝路视觉,2018-03-14,9802330,259899846.97
7650,300556,丝路视觉,2018-03-15,9526022,225982856.16
7651,300556,丝路视觉,2018-03-16,7524514,177344629.51
7652,300556,丝路视觉,2018-03-19,10402019,251759258.51
7653,300556,丝路视觉,2018-03-20,12047646,311503702.3
7654,300556,丝路视觉,2018-03-21,17528140,479271869.41
7655,300556,丝路视觉,2018-03-22,13602560,382009135.2
7656,300556,丝路视觉,2018-03-23,8725691,222653115.21
7657,300556,丝路视觉,2018-03-26,9119468,225128970.92
7658,300556,丝路视觉,2018-03-27,9937891,267161606.86
7659,300556,丝路视觉,2018-03-28,13843068,399250577.35
7660,300556,丝路视觉,2018-03-29,9532508,260376934.86
7661,300556,丝路视觉,2018-03-30,9082471,252516701.1
7662,300556,丝路视觉,2018-04-02,7616103,205388050.94
7663,300556,丝路视觉,2018-04-03,5728248,146411039.71
7664,300556,丝路视觉,2018-04-04,11412545,314211538.0
7665,300556,丝路视觉,2018-04-09,8333667,209370731.26
7666,300556,丝路视觉,2018-04-10,5221006,129032838.37
7667,300556,丝路视觉,2018-04-11,5373646,135042772.2
7668,300556,丝路视觉,2018-04-12,8177124,211763915.05
7669,300556,丝路视觉,2018-04-13,4697650,120210017.5
7670,300556,丝路视觉,2018-04-16,3515100,86633327.0
7671,300556,丝路视觉,2018-04-17,4471708,106745792.43
7672,300556,丝路视觉,2018-04-18,5015913,111928557.09
7673,300556,丝路视觉,2018-04-19,4167911,96865948.75
7674,300556,丝路视觉,2018-04-20,4720547,111265523.21
7675,300556,丝路视觉,2018-04-23,5617722,123390162.42
7676,300556,丝路视觉,2018-04-24,3607920,79916451.8
7677,300556,丝路视觉,2018-04-25,3970750,91244001.6
7678,300556,丝路视觉,2018-04-26,5675794,132593609.79
7679,300556,丝路视觉,2018-04-27,4075024,90415359.99
7680,300556,丝路视觉,2018-05-02,2864773,63567960.48
7681,300556,丝路视觉,2018-05-03,3214000,70192874.0
7682,300556,丝路视觉,2018-05-04,4132610,94379944.0
7683,300556,丝路视觉,2018-05-07,3039811,67706067.6
7684,300556,丝路视觉,2018-05-08,3958781,90204031.87
7685,300556,丝路视觉,2018-05-09,4783544,111480241.93
7686,300556,丝路视觉,2018-05-10,3176300,74354770.0
7687,300556,丝路视觉,2018-05-11,3653270,82888293.4
7688,300556,丝路视觉,2018-05-14,1930500,42891135.97
7689,300556,丝路视觉,2018-05-15,2443834,53847441.65
7690,300556,丝路视觉,2018-05-16,1909916,42421774.04
7691,300556,丝路视觉,2018-05-17,1778189,38845144.17
7692,300556,丝路视觉,2018-05-18,1658300,36327855.0
7693,300556,丝路视觉,2018-05-21,2480066,55485630.82
7694,300556,丝路视觉,2018-05-22,3879150,88149764.5
7695,300556,丝路视觉,2018-05-23,2884200,65174224.5
7696,300556,丝路视觉,2018-05-24,12162504,295830094.3
7697,300556,丝路视觉,2018-05-25,8279661,214803618.13
7698,300556,丝路视觉,2018-05-28,16700382,498415860.8
7699,300556,丝路视觉,2018-05-29,23030919,677591251.52
7700,300556,丝路视觉,2018-05-30,19183871,532679858.33
7701,300556,丝路视觉,2018-05-31,17281470,474977711.0
7702,300556,丝路视觉,2018-06-01,10877400,278942387.0
7703,300556,丝路视觉,2018-06-04,8086100,197233442.03
7704,300556,丝路视觉,2018-06-05,8220737,205474336.22
7705,300556,丝路视觉,2018-06-06,10911852,287110679.54
7706,300556,丝路视觉,2018-06-07,11958550,316829587.72
7707,300556,丝路视觉,2018-06-08,10886749,284980047.69
7708,300556,丝路视觉,2018-06-11,20048066,563940582.0
7709,300556,丝路视觉,2018-06-12,15817173,430740634.08
