('【被非关联方授权使用字号】就发行人使用的“宇信”字号，非关联方A股上市公司盛路通信（SZ.002446）的孙公司北京宇信电子已于2015年2月与发行人签订了《协议书》，同意授权发行人或发行人与其控股子公司共同组建的集团公司使用“宇信”为公司字号，该授权系永久授权且不可单方撤销。北京宇信电子主要 ...展开全文c', '2018-05-04 21:44:50')
('发布了头条文章：《A股本周走势预测：海螺水泥+宝馨科技+盛路通信》$海螺水泥 sh600585$ $宝馨科技 sz002514$ $盛路通信 sz002446$ #股票分析# |A股本周走...', '2018-05-03 07:09:13')
('#盛路通信 sz002446[股票]# 该股近期在相对低位震荡为主，目前没有什么大的动作和趋势上的选择，后市重点看半年线压力，不能突破并企稳难有空间。', '2018-05-02 00:04:15')
('#盛路通信 sz002446[股票]# 5g通信、物联网概念；昨天有发改委的支持文件，指标继续维持多头，建议拿着。短期压力在9.81前高附近', '2018-04-25 21:17:42')
('发布了头条文章：《002446 盛路通信：主力吹响反攻号角，蓄力爆发再来涨停！》 #股票分析# #财经头条文章# $盛路通信 sz002446$ |002446 盛...', '2018-04-25 12:05:04')
('中国联通单边拉升涨停，消息面上，公司一季度净利大增374%超预期，这么一拉升，直接刺激5G板块快速走强，吉大通信直线拉升封涨停，东方通信、超讯通信、科信技术、广和通、中通国脉、盛路通信等纷纷跟涨；注意，业绩为王，尤其是一季度业绩好的个股，激进的投资者可以潜伏，稳健的投资者还是等大机会， ...展开全文c', '2018-04-23 02:03:17')
('$中国联通 sh600050$ 单边拉升涨停，消息面上，公司一季度净利大增374%超预期，这么一拉升，直接刺激5G板块快速走强，$吉大通信 sz300597$ 直线拉升封涨停，$东方通信 sh600776$ 、$超讯通信 sh603322$ 、$科信技术 sz300565$ 、$广和通 sz300638$ 、$中通国脉 sh603559$ 、$盛路通信 sz002446$ 等纷纷 ...展开全文c', '2018-04-22 23:21:51')
('5G板块快速走强，龙头吉大通信直线封板，科信技术、广和通、武汉凡谷、中通国脉、盛路通信纷纷跟涨。', '2018-04-22 22:54:52')
('在22日于福州开幕的首届数字中国建设峰会上，工业和信息化部信息通信发展司司长闻库发布了中国5G发展的“时间表”。其中，具备示范应用能力的5G终端最早将在明年下半年推出。5G板块走强，$中国联通 sh600050$ 、$吉大通信 sz300597$ 等直线封板，科信技术、广和通、武汉凡谷、中通国脉、盛路通信纷纷跟 ...展开全文c', '2018-04-22 22:51:25')
('5G板块走强，吉大通信直线封板，科信技术、广和通、***凡谷、中通国脉、盛路通信纷纷跟涨。', '2018-04-22 22:49:41')
('【$盛路通信 sz002446$ ：中美贸易战对公司影响不大】$盛路通信 sz002446$ 在互动平台表示，公司出口到美国的产品中暂无纳入232和301征税范围的产品，中美贸易战对公司影响不大。', '2018-04-20 02:48:08')
('今早我们组合最成功置换，把贵州百灵、盛路通信换入“三合一科技股”，恰好买入12.88附近，完美！这也是同步微博里让大家这么做！集中！集中！集中到优势强股里，大盘一旦反弹你就率先解套获利！', '2018-04-18 01:19:12')
('$通富微电 sz002156$ 三合一科技股还是很坚强的，说明自主知识产权很牛，【百元尖端股】也是如此。新零售股完全国内销售因此都可以。三大主力股大元、合盛、荣妈也算扛住，这就看得出在大盘回落的时候哪个是不错的！比较恶心的是昆仑箱体的大宽幅震荡，以及盛路通信被中兴通讯利空击中，而数字中国的 ...展开全文c', '2018-04-17 05:40:42')
('天然气第一股年报激增662%，机构助力88亿元，4月将复制万科A！$今飞凯达 sz002863$ $新农开发 sh600359$ $盛路通信 sz002446$ #致敬中国战地记者# 颂娟评股的...', '2018-04-16 04:42:57')
('大盘今天盘中跌破3100，但是一些好股并没有跟跌，个股中数字中国，5g之类的都比较坚挺，海南这块前期参与过1次罗牛山，这一波就不太想去了。今天中线做了个换仓动作，把汇顶换成了啤酒。目前持仓盛路通信，今天做完T，微赚。中通国脉，这个可能会换掉，太弱了，就是稳而已。神州信息赚了换了个厦门信达 ...展开全文c', '2018-04-16 03:34:04')
('#最新咨询# #个股解答# #股票#$盛路通信 sz002446$ 震荡整理，关注上方9.2元附近压力，不能突破无上涨行情，下行可以8.4元附近止损', '2018-04-12 23:18:48')
