('#中核科技 sz000777[股票]# 所以说要选强势 抓大底', '2018-07-04 10:07:35')
('发布了头条文章：《中核科技(000777)：主力疯狂抢筹，蓄势待发引爆新的涨停潮！》 $中核科技 sz000777$ |中核科技(0...', '2018-07-04 10:02:47')
('发布了头条文章：《A股震荡筑底：中核科技+中新药业+阿科力》 $中核科技 sz000777$ $中新药业 sh600329$ $阿科力 sh603722$ #股票分析# |A股震荡筑...', '2018-07-04 05:38:27')
('#股市老枪#早盘涨停板 国产替代芯片：湘邮科技、阿石创 超跌+5G：邦讯技术 填权+5G：欣天科技 超跌：捷荣技术、柘中股份、奥维通信、大连电瓷 中报预增：甘肃电投、安阳钢铁、金路集团 填权+：冀凯股份 油气：潜能恒信、深冷股份 环保：德创环保、科林环保 核电：台海核电、中核科技 股权转 ...展开全文c', '2018-07-04 01:37:09')
('无量下跌，2767点跌19点，成交785亿，热点散，安阳钢铁上半年业绩增加31倍，涨停。中兴通讯冲高回落，核能概念，上海电力，中核科技涨停，台海核电涨停，香港股市28239点跌306点，昨天V底，明天上午会有新买入点', '2018-07-04 00:58:02')
('罗牛山持有被套，看到中核科技涨停，哇的一声哭了出来超跌才是王道', '2018-07-04 00:27:40')
('2018年7月4日9点30到11点30盘面：强势板块：电气设备：太阳电缆、福达合金、双杰电气、大连电瓷、柘中股份电力核电：甘肃电投、中核科技、台海核电、上海电力、高送转：中农立华、欣天科技、冀凯股份、阿石创、双杰电气黄金：西部黄金、赤峰黄金、恒邦股份、山东黄金5G：邦讯技术、奥维通信、欣 ...展开全文c', '2018-07-03 23:55:07')
('安阳钢铁、华菱钢铁半年报大幅预喜提振板块走强，安阳钢铁强势涨停；黄金板块再获资金青睐，西部黄金涨逾8%；赤峰黄金、恒邦股份跟涨；核电板块盘中崛起，中核科技、台海核电携手涨停；其余板块半日均表现低迷，次新股大幅杀跌，南京证券、中信建投、锋龙股份均跌超9%；科技股集体跳水；家电股一蹶不振 ...展开全文c', '2018-07-03 23:48:24')
('核电板块押错了，中核科技和台海核电直接奔涨停了，中国核电半死不活[流汗]', '2018-06-28 02:22:23')
('中国核电，新研股份，川化股份。', '2018-07-03 23:26:53')
('实时播报：整点回顾：两市依旧弱势盘整震荡，次新股的大幅下挫打击了市场人气，而权重的反弹力度也较为一般，所以整体市场再度走弱，大盘较为分裂，个股跌多涨少。板块方面黄金、钢铁板块领涨，盘中核电（中核科技）异动拉升。京东金融、次新股板块领跌。...（微信24小时播报：FinancebeCom4）', '2018-07-03 23:06:12')
('核电异动，中核科技、台海核电直线涨停，另外中国核建、兰石重装、中国核电等出现快速拉升~弱势行情不能追高，谨防热点一日游！', '2018-07-03 22:53:02')
('【实时】核电板块异动，龙头中核科技直线封板，台海核电跟随涨停，兰石重装、沃尔核材、江苏神通纷纷跟涨。 |实时快讯', '2018-07-03 22:38:41')
('核电板块放量拉升，$中核科技 sz000777$ 快速封板。还是超跌反弹逻辑。', '2018-07-03 22:36:39')
('【大盘：核电股快速拉升 中核科技、台海核电涨停】核电股快速拉升，截止发稿，中核科技(10.440, 0.95, 10.01%)、台海核电(15.210, 1.38, 9.98%)涨停，兰石重装(5.230, 0.22, 4.39%)大涨6%，江苏神通(6.400, 0.22, 3.56%)、中国核建(8.030, 0.31, 4.02%)、沃尔核材(4.530, 0.15, 3.42%)、中国核电(5.770 ...展开全文c', '2018-07-03 22:35:16')
('中核科技直线拉板中国核建，中国核电这类中字头全部拉高核电板块是半年报的业绩预报说白了，还是业绩的支撑', '2018-07-03 22:32:09')
('创蓝筹 吹响反攻号角？近期有望直线拉升！ $赣锋锂业 sz002460$ $中核科技 sz000777$ $*ST新亿 sh600145$ $华鲁恒升 sh600426$ QueenieL的...', '2018-07-02 02:08:50')
('香港一老教授终把“股票七不买”讲清楚了，仅分享一次，今晚就删 $国投电力 sh600886$ $中核科技 sz000777$ $苏试试验 sz300416$ $长亮科技 sz300348$ 李域悟看盘...', '2018-07-01 13:10:36')
('一旦股票出现“长上影线”试盘，坚决捂股，必有一波翻倍行情！ $宁波韵升 sh600366$ $楚天科技 sz300358$ $中核科技 sz000777$ $红太阳 sz000525$ 我的小蜗牛...', '2018-07-01 11:15:11')
('次新第一龙头86跌至5元，股东增持8700万股，18年将超京东方A $希努尔 sz002485$ $超图软件 sz300036$ $中核科技 sz000777$ $华夏幸福 sh600340$ 我的小蜗牛...', '2018-06-30 10:13:22')
('股市唯一不会骗人的指标——KDJ，一旦精通，出世就是涨停黑马股 $广宇发展 sz000537$ $中核科技 sz000777$ $长缆科技 sz002879$ $森霸传感 sz300701$ 李域悟看盘...', '2018-06-29 23:55:19')
('中核科技 新兴铸管 三毛派神 *ST平能 美达股份 长江证券 股海大咖的...', '2018-06-29 03:11:43')
('盲目没有方向，不明白出还是留吗？只分享1次人满就不加了！漳泽电力(sz000767) 中航飞机(sz000768) *ST大菲(sz000769) 广发证券(sz000776) 中核科技(sz000777) 新兴铸管(sz000778) Only_抱玉...', '2018-06-27 20:21:05')
('特少人知道“新股申购”的中签秘密，熟背4大口诀，越简单越可靠 $天原集团 sz002386$ $*ST昌鱼 sh600275$ $中核科技 sz000777$ $英维克 sz002837$ 论A股堂的...', '2018-06-26 17:15:23')
('广发证券 中核科技 新兴铸管 三毛派神 *ST平能 美达股份 股海大咖的...', '2018-06-13 03:53:25')
('发布了头条文章：《主力强势暗藏阴谋：网宿科技 中核科技 特变电工 中环股份》 |主力强势暗...', '2018-06-12 20:49:30')
('发布了头条文章：《重磅利好消息：漳泽电力 中航飞机 广发证券 中核科技》 |重磅利好消...', '2018-06-11 02:05:01')
('发布了头条文章：《重磅消息：天士力+中核科技+温州宏丰，本周操作策略解读》 $天士力 sh600535$ +$中核科技 sz000777$ +$温州宏丰 sz300283$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-06-09 10:50:22')
('$中核科技 sz000777$ （11.60元）高位下跌抢反弹!此类股票拉升快获利大，风险也是极大，一不小心跌无期!个人看法，风险自负!', '2018-06-07 06:23:24')
('发布了头条文章：《A股月初迎来大爆发：北信源+仙坛股份+中核科技+中孚信息》 |A股月初迎...', '2018-06-03 02:19:31')
('$中核科技 sz000777$ 是否改反弹了？跌幅太大了ye，跌幅太大了，自己这不知道吗，赶紧跑啊，危险来了不跑等反弹，生活中都知道怎么做，炒股怎么就不明白，屋里着火了钱就不要拿了，人出来就好啊，这样的股票就像着火一样的，趋势这么差，谁会选，这种股票能选到也是很厉害啊！', '2018-05-31 23:20:14')
('中核科技 新兴铸管 三毛派神 *ST平能 股海大咖的...', '2018-05-24 05:13:26')
('利好消息：中航飞机 广发证券 中核科技 新兴铸管 平庄能源 郑傅琦看盘...', '2018-05-14 21:30:18')
('发布了头条文章：《A股信号暗藏玄机：海达股份+中核科技+潮宏基》$海达股份 sz300320$ $中核科技 sz000777$ $潮宏基 sz002345$ #股票分析# |A股信号暗...', '2018-05-13 03:53:56')
('发布了头条文章：《月中A股走势揭秘：中核科技+厦门港务+华西能源》 |月中A股走...', '2018-05-13 03:12:29')
('发布了头条文章：《诡异信号曝光主力阴谋：南纺股份 海螺型材 华光股份 中核科技》 #股市财经头条# #微博股票推荐# #短线牛股汇集# $南纺股份 sh600250$ $海螺型材 sz000619$ $华光股份 sh600475$ |诡异信号曝...', '2018-05-11 21:44:21')
