('豫金刚石这个跟风太扯了。金刚石和富勒烯能一样吗?', '2018-07-16 21:12:37')
('#华谊兄弟 sz300027[股票]# 昨天直播继续挖掘牛股，盘中两个点说的豫金刚石和亿利达都冲击涨停，今天直播会继续挖掘类似牛股，大家要多多支持腾飞。昨天投机品种吃大面，相比较之下，有业绩的票反而好的多，风华高科历史新高加速，日成交量达到30亿，排名两市第二，由此我们知道现在多少资金在这种业绩 ...展开全文c', '2018-07-16 21:11:09')
('盘中新材料概念炒了一波，富勒烯，龙头通产丽星直接被顶到一字、豫金刚石、亿利达。这个题材纯粹的概念炒作，几年前就炒过，不具备产业化条件，没有的就不适合去接力了。', '2018-07-16 10:21:03')
('富勒烯还真干出来了，下午板了好几只，早上铁粉小群让打的$通产丽星 sz002243$ ，应该要大肉了。下午$豫金刚石 sz300064$ ，$亿利达 sz002686$ ，$四方达 sz300179$ 都是。现在亏钱效应和赚钱效应都很极端，亏钱效应就不说了，周五的龙头票基本都大面，而盘面上有36只涨停，9只连板。这种行情 ...展开全文c', '2018-07-16 07:16:51')
('发布了头条文章：《安顺论股：豫金刚石+正平股份+天圣制药+木林森》$豫金刚石 sz300064$ $上证指数 sh000001$ #股票# #今日看盘# |安顺论股：...', '2018-07-16 03:31:49')
('收评：咱们的票今天还是可以的，上周五涨停，今天这么差的盘面(风华高科净值已经拉升十几个点了。上周五重点提示大家低吸的票(盛运环保涨停兴源环境早盘提示加仓午盘表现也不错！直播的票也很给力，今天盘中两个点说的亿利达和豫金刚石，一个涨停，一个收盘不到7个点。蓝筹今天集体杀跌，指数调 ...展开全文c', '2018-07-16 03:13:42')
('#华谊兄弟 sz300027[股票]# 收评：今日战绩还是很给力的，今天这么差的盘面，我们早盘盘中两个点说的亿利达和豫金刚石，一个涨停，一个收盘不到7个点。周六文章中提到的盛运环保午后开盘没多久就秒板！上周四早盘推荐的彤程新材今日午盘也是强势涨停！跟上的朋友获利丰厚！再接再厉！今日除了跌停的33 ...展开全文c', '2018-07-16 03:12:34')
('蓝筹今天集体杀跌，指数调整，蓝筹今天可能是一个低吸的机会，短暂休息后，明天或者后天还会再来一次拉升。直播的票也很给力，今天盘中两个点说的#亿利达 sz002686[股票]# 和#豫金刚石 sz300064[股票]# ，一个涨停，一个收盘不到7个点。今天直播就到这，我们明天见。#今日看盘# #微博股票# ...展开全文c', '2018-07-16 03:04:08')
('胖哥收评：咱们的票今天还是可以的，上周五涨停，今天这么差的盘面，尾盘上涨一个多点，净值已经拉升十几个点了。直播的票也很给力，今天盘中两个点说的亿利达和豫金刚石，一个涨停，一个收盘不到7个点。上周四说的合肥城建在周五盘中涨停，今天盘中8个多点，两天下来也有十几个点的利润，国瓷材料 ...展开全文c', '2018-07-16 03:00:24')
('发布了头条文章：《豫金刚石(300064)：股蓄势待发，崛起待进龙虎榜！》 $豫金刚石 sz300064$ \ue627 红包行情 #财经头条文章# @唐言轩分析 $三变科技 sz002112$ |豫金刚石(3...', '2018-07-16 02:24:02')
('一退休老教授狂言：股市唯一不骗人“线上阴线买”曝光，字字抖金$豫金刚石 sz300064$ $神州数码 sz000034$ $京山轻机 sz000821$ $奥维通信 sz002231$ 麦平宇的秒...', '2018-07-16 02:19:15')
('下午主要在炒富勒烯概念（$亿利达 sz002686$ /$豫金刚石 sz300064$ ）。这块老道要提醒各位富勒烯$通产丽星 sz002243$ 是行业龙头，亿利达则是当初牛股，可以先关注一波。现在的市场专职收割龙头，强势的超级龙头一旦见顶之后很难有反弹，所以看到建议大家千万不要试图去博反弹，否则下场会很 ...展开全文c', '2018-07-16 02:11:22')
('中报 概念个股基本是冲高回落的走势，对于此类概念股只适合低吸，不适合追涨。富勒烯概念股午后异动拉升，豫金刚石（300064）午后秒板，通产丽星（002243）三连板，四方达（300179）、亿利达（002686）、江淮汽车（600418）纷纷跟涨。近日，我国首条吨级富勒烯生产线投产。近日，由内蒙古碳谷科技 ...展开全文c', '2018-07-16 02:10:19')
('午后指数又一次出现回落，而且每次下探就会有资金低吸，往上涨资金又不敢去追高，说明资金开始变得“精明”了，不得不说环境才是最好的老师！富勒烯概念午后全线发动，亿利达站稳涨停板，豫金刚石被砸，看收盘前能否回封。而随着本轮行情总龙头的见顶，就像上一波行情$超频三 sz300647$ 到头 ...展开全文c', '2018-07-16 02:00:06')
('【石墨烯概念活跃 维科技术等2股涨停】石墨烯概念今日表现活跃，截至发稿，维科技术、沃特股份涨停，宝泰隆、豫金刚石涨逾8%，锦富技术涨逾5%，德尔未来涨逾4%。消息面上，日前，中国石墨烯产业技术创新战略联盟在京发布新制定的团体标准《含有石墨烯材料的产品命名指南》。这项标准规定了石墨烯材料相 ...展开全文c', '2018-07-16 01:49:57')
('观察天永智能、天地数码、欣锐科技、宁德时代、豫金刚石', '2018-07-16 01:43:43')
('我们早盘分析推荐的3只票，$豫金刚石 sz300064$ ，$亿利达 sz002686$ 目前都已经强势涨停了，另外一只$江淮汽车 sh600418$ 目前也已经3个多点了，涨幅5%；这战绩杠杠的，跟上的朋友获利丰厚了！在线的朋', '2018-07-16 01:33:37')
('富勒烯板块午后集体拉升，龙头通产丽星一字板，龙二豫金刚石午后秒板，亿利达随后封板，四方达冲击涨停。\ue627 今日看盘 \ue627 投资达人说 $中兴通讯 sz000063$ $天华超净 sz300390$ @微博股票', '2018-07-16 01:33:14')
('我们早盘分析推荐的3只票，豫金刚石，亿利达目前都已经强势涨停了，另外一只江淮汽车目前也已经3个多点了，涨幅5%；这战绩杠杠的，跟上的朋友获利丰厚了！在线的朋友小手点点赞不要吝啬！多个点赞，多一份鼓励与支持，你们的支持，就是我挖掘牛股的动力！#牛股推荐# #新浪财经# @微博股票 ...展开全文c', '2018-07-16 01:29:09')
('风华高科这走势，早盘回落到三四个点的时候，是不是很多人都慌张了，但是我说了，这条线我继续看好，随着风华高科趋势再次走出来，那么接下来跟风品种也会起来的。不要瞧不起跟风，那是因为你不懂得怎么去跟风。我今天早盘说的两个涨停的票(亿利达)(豫金刚石)都是跟风，不比打龙头效果差的 ...展开全文c', '2018-07-16 01:27:29')
('\ue627 大盘 富勒烯概念股午后异动拉升，豫金刚石午后秒板，通产丽星三连板，四方达、亿利达、江淮汽车纷纷跟涨。近日，我国首条吨级富勒烯生产线投产。近日，由内蒙古碳谷科技有限公司创建的国内首条吨级富勒烯生产线正式投产。据了解，富勒烯是1985年天文学家在研究宇宙星云构成时意外发现的。 ...展开全文c', '2018-07-16 01:25:33')
('【盘口热点速递】超跌板块走强超跌个股凯盛科技、恒通股份、联建光电、亿利达、盛洋科技、豫金刚石涨停，德尔未来、黄河旋风快速拉升。点评：超跌概念一直是本轮反弹的一条主线，虽然多数个股会叠加其他题材概念，但是相对来说，同概念中超跌的个股会更受市场认可，持续期也会更久，比如 ...展开全文c', '2018-07-16 01:25:06')
('亿利达 和 豫金刚石 都是早上2个点的时候，我跟大家说的，恭喜跟上的朋友。$上证指数 sh000001$', '2018-07-16 01:23:11')
('富勒烯概念午后全线动了，我早盘说的时候，亿利达和豫金刚石也就是2个点，目前已经双双涨停了；你看现在一爆发，市场都在说富勒烯了。很多人是热点出现才去做热点，我在热点没出现之前就挖掘热点。就像之前的合肥城建一样，都是提前告知机会了的，稳稳的幸福！#牛股推荐# #新浪财经# @微博股票 ...展开全文c', '2018-07-16 01:22:52')
('#华谊兄弟 sz300027[股票]# 买龙头的问题，在于，你买入的点，你怎么确定不是最高点？如果你在买入的点能判断，趋势会延续，那么打龙头就是超额收益，没那么本事，最后一次接力，那么吃面就不奇怪的。我们今天直播战绩还是不错的，亿利达和豫金刚石，都是早盘2个点说的，目前都涨停了。#新浪财经# ...展开全文c', '2018-07-16 01:21:24')
('咱们今天直播战绩还是不错的，$亿利达 sz002686$ 和豫金刚石，都是早盘2个点说的，目前都涨停了', '2018-07-16 01:20:02')
('漂亮，我们早盘分析点评的豫金刚石午后开盘强势涨停了，今天早盘2个点就开始说的，看到老师的低位潜伏的威力了吧，牛逼！跟上的朋友恭喜啦！#新浪财经# #牛股推荐# @微博股票 $天华超净 sz300390$ $华帝股份 sz002035$', '2018-07-16 01:14:13')
('#上证指数 sh000001[股票]# \ue627 新浪理财师 \ue627 新浪财经 #$豫金刚石 sz300064$ 涨停，今天早盘2个点就开始说的，看到老师的低位潜伏的威力了吧！直播的票却非常给力，我就不多说，佩服老师不，点赞再次疯狂起来吧！这样操作大家还喜欢吧！', '2018-07-16 01:12:21')
('富勒烯概念午后全线动了，我早盘说的时候，亿利达和豫金刚石也就是2个点，你看现在一爆发，市场都在说富勒烯了。很多人是热点出现才去做热点，我在热点没出现之前就挖掘热点。', '2018-07-16 01:11:59')
('大家下午好，豫金刚石涨停，今天早盘2个点就开始说的，看到老师的低位潜伏的威力了吧$上证指数 sh000001$', '2018-07-16 01:06:42')
('建行下跌2.5%，这个是不错的机会。这种前期凝聚人气的品种，不会那么容易挂的。那会2个点说的$豫金刚石 sz300064$ 目前4个点了。', '2018-07-15 23:01:17')
('目前连板最强的就是通产丽星，三板。这只股概念还不错，深圳国资改革。还有就是目前市场挖掘出来的富勒烯，相关标的有豫金刚石，亿利达和江淮汽车。这条线可以看看$上证指数 sh000001$', '2018-07-15 22:29:35')
('目前连板最强的就是通产丽星，三板。这只股概念还不错，深圳国资改革。还有就是目前市场挖掘出来的富勒烯，相关标的有豫金刚石，亿利达和江淮汽车。这条线可以看看#牛股推荐##新浪财经# @微博股票 $天华超净 sz300390$ $华帝股份 sz002035$', '2018-07-15 22:21:59')
('睿康 华谊嘉信 大连电瓷 深圳惠程 豫金刚石 锦富技术这些算是图形好点的 其他一大票图形比较难看 估计也就老牛那样的能抓住买点', '2018-07-15 22:10:48')
('老股民分享：MACD指标炒股的七个技巧，值得收藏！ $豫金刚石 sz300064$ $马钢股份 sh600808$ $雪迪龙 sz002658$ $台华新材 sh603055$ 姚晓浪的秒...', '2018-07-15 02:39:52')
('水泥第一股停牌6年,今重组复牌,大股东怒持5000万股,下周或封妖王 $广聚能源 sz000096$ $嘉寓股份 sz300117$ $豫金刚石 sz300064$ $天域生态 sh603717$ 李域悟看盘...', '2018-07-14 12:25:30')
