('中字头的企业大涨，看行业主要集中在建筑领域，中字头涨得最多的是中国交建，就是建筑企业，非中字头的建筑股，除了成都路桥，刚才龙元建设也涨停了，看起来都是建筑股这个板块在升温。建筑股背后的事件驱动力，我们此前认定的有两个，一个是扩大内需四步走的第三步：基建托底；另一个是建筑是财政政 ...展开全文c', '2018-07-22 23:34:52')
('#成都路桥 sz002628[股票]# 成都路桥封死涨停，目前也是三板空间！原因是超跌反弹', '2018-07-22 23:30:43')
('基建股异动，龙头成都路桥，刚才回封很好的机会', '2018-07-22 23:25:35')
('发布了头条文章：《皓轩论股：成都路桥+美联新材+德尔未来+实达集团》$成都路桥 sz002628$ #股票# #上证指数# #股票分析# |皓轩论股：...', '2018-07-22 22:51:54')
('发布了头条文章：《文轩论股：圣阳股份+成都路桥+盈方微，主力满仓巨资布局，再夺龙头！》 $成都路桥 sz002628$ $上证指数 sh000001$ #股票# #疫苗# |文轩论股：...', '2018-07-22 22:47:31')
('大家不要总是想着做妖股了，兆日科技，通产丽星只算是板块龙头，但是不算是妖股，妖股产生于分歧，现在这市场，指数相对稳定，不具备妖股的环境；成都路桥3连板上攻，具备超跌反弹+基建叠加概念，不过该股短期即将面临较大压力位，能否成功攻过去也将决定基建的整体力度；指数现在表现有点超预期了，只 ...展开全文c', '2018-07-22 22:44:21')
('推荐建筑板块股票；002628成都路桥，300284苏交科，600491龙元建设，600068葛洲坝，600970中材国际，601186中国铁建，601668中国建筑', '2018-07-22 22:29:29')
('发布了头条文章：《集体反弹，遍地黄金：成都路桥+兆新股份+盈方微》 \ue627 股票 #牛股推荐# #财经头条# |集体反弹，...', '2018-07-22 22:28:51')
('$上证指数 sh000001$ $中小板指 sz399005$ $创业板指 sz399006$ #投资达人说# @微博股票目前兆日科技，通产丽星只算是板块龙头，但是不算是妖股，妖股产生于分歧，现在这市场，指数相对稳定，不具备妖股的环境；成都路桥3连板上攻，具备超跌反弹+基建叠加概念，不过该股短期即将面临较大压力位，能 ...展开全文c', '2018-07-22 22:22:47')
('$福达合金 sh603045$ $天华超净 sz300390$ $长城科技 sh603897$ $环能科技 sz300425$ #牛股挖掘者# #强势之道# #短线老张擒牛# @微博股票目前兆日科技，通产丽星只算是板块龙头，但是不算是妖股，妖股产生于分歧，现在这市场，指数相对稳定，不具备妖股的环境；成都路桥3连板上攻，具备超跌反弹+ ...展开全文c', '2018-07-22 22:22:36')
('雷科防务 成都路桥 给了机会但是不敢打 总感觉有坑', '2018-07-22 22:20:56')
('\ue627 今日看盘 成都路桥三涨停，该股是国家队持股的股票，今日国家队持股大涨的个股太多了。$成都路桥 sz002628$ @微博股票', '2018-07-22 22:18:38')
('成都路桥三涨停，该股是国家队持股的股票，今日国家队持股大涨的个股太多了。钢铁板块在逐渐补缺口，不过量能不大，周期板块目前较好的在钢铁，水泥、化工当中。\ue627 A股 \ue627 今日看盘 \ue627 股市 \ue627 短线牛股 \ue627 股票 \ue627 牛股推荐 \ue627 财经', '2018-07-22 22:18:34')
('\ue627 海归看盘 今日荐股成都路桥（002628）盘中异动，直线涨停！该股是股权转让概念股，目前已经3连板！恭喜跟上操作的家人们在海归老师带领下抓到强势股！请大家继续拿好，欢迎咨询海归老师，我们将提供最佳卖点！', '2018-07-22 22:14:41')
('5只板3只，成都路桥和珈伟股份，除了绿买低吸，追涨想都别想。', '2018-07-22 22:01:45')
('集合竞价来看，4板超跌龙头斯太尔6个点高开复牌+填权美联新材4.86，举牌概念兆新股份近涨停成都路桥4个点，亚夏股份平开强势股回调方面 金安国纪-2.79，丹邦科技1.46， 天华超净1.33，宁德时代-2', '2018-07-22 21:29:46')
('低开这么多，超跌首板的珈伟股份，和三连板预期的成都路桥，大跌买妖股压压惊。', '2018-07-22 21:28:27')
('中签王深夜吐真言：新股最佳申购时间点，百发百中股市就如印钞机 $机电B股 sh900925$ $成都路桥 sz002628$ $通用股份 sh601500$ $金融街 sz000402$ QueenieL的...', '2018-07-22 21:01:43')
('方向3：连板阵营，斯太尔（4板，低价+股权转让+锂电池+贬值）、美联新材（3板、复牌+锂电池+填权）、二连板的有兆新股份（举牌）/成都路桥（基建）/亚夏股份（超级高铁）。', '2018-07-22 20:35:59')
('从股权属性来说，西安饮食，成都路桥都是助攻个股。斯太尔，超跌属性+新能源+贬值，多重属性个股，大长腿之后获利盘比较多，周一直接加速不利于接力，如果早上分歧放量之后，午后再封板可以考虑参与。现在是卡位通产丽星的场内最高连板高度。', '2018-07-22 10:41:03')
('炒股能发财的只有一种人：记住了这些固定铁律，你就可以快速盈利$通产丽星 sz002243$ $斯太尔 sz000760$ $成都路桥 sz002628$ 汪哥论市的...', '2018-07-22 10:32:27')
('东方环宇，斯太尔，兆新股份，成都路桥，星徽精密，同为股份，美联新材', '2018-07-22 10:31:20')
('关于明天的几个方向：锂电池：美联新材，斯太尔举牌：兆新股份，成都路桥软件：超图软件补涨标的的话，锂电池这块标的太多，且一直在切换，个人比较关注丰元股份 ...展开全文c', '2018-07-22 10:14:34')
('光启技术 金达威 宜昌交运 成都路桥！#新国都 sz300130[股票]# #博腾股份 sz300363[股票]# #达安股份 sz300635[股票]# 许楚沛分析...', '2018-07-22 05:09:09')
