('上市公司晚间公告一览：中原环保：联合体中标近14亿元PPP项目宏润建设：中标2.97亿元道路改造工程项目楚江新材：牵手鑫海铜业深耕新能源汽车铜导体材料领域福瑞股份：拟收购优德医疗58.69%股权保税科技：拟8.8亿元收购军工企业能通科技双杰电气：公司及子公司中标1.74亿元采购项目', '2018-05-07 08:39:57')
('以下是个股利好汇总：中原环保：联合体中标近14亿元PPP项目宏润建设：中标2.97亿元道路改造工程项目楚江新材：牵手鑫海铜业深耕新能源汽车铜导体材料领域福瑞股份：拟收购优德医疗58.69%股权汇鸿集团：今年共收到8290万政府补助保税科技：拟8.8亿元收购军工企业能通科技 ...展开全文c', '2018-05-07 08:03:58')
('0503 医药公告速递（截至21:00） —业绩和利润分配— 【福瑞股份】1.2018年第一季度报：营业收入1.75亿元（+13.28%），归母净利润1012万元（+19.24%）,扣非净利润1005万元（+14.68%），EPS0.04元。2.筹划重大资产重组事项，继续停牌。 【柳州医药】2017年度利润分配预案：10派6.6送0转4。 【灵康药业 ...展开全文c', '2018-05-02 09:18:33')
('格力电器：连续遭神秘资金接盘，11连阳封杀回调空间，小散该如何是好#合康新能 sz300048# #福瑞股份 sz300049# #东方财富 sz300059# 乔继凤分析...', '2018-04-23 23:10:14')
('#合康新能 sz300048# #福瑞股份 sz300049# #东方财富 sz300059# 乔继凤分析...', '2018-04-22 22:28:38')
('量子通讯第一股跌至8，遭主力千亿重仓增持，散户们：捡钱机会来了#合康新能 sz300048# #福瑞股份 sz300049# #东方财富 sz300059# 乔继凤分析...', '2018-04-22 07:11:45')
('主力底部巨资增持，今天定会让股民：中国软件 智慧农业 民德电子#合康新能 sz300048# #福瑞股份 sz300049# #东方财富 sz300059# 乔继凤分析...', '2018-04-19 22:51:33')
('|福瑞股份海... 由于专利上的纠纷，自2014年起，福瑞股份与同行海斯凯尔进入了旷日持久的专利战。双方的战火不仅限于国内，甚至还蔓延到了德国。4月2日晚间，德国杜塞尔多夫地区高级法院对双方一项专利侵权案件作出终审判决，以福瑞股份方面获胜告终。纵观双方争斗的大背景，其实是源于过去几年中 ...展开全文c', '2018-04-03 09:08:03')
('//@老杳:西电捷通应该是首家向本土手机品牌收取专利费的大陆IC厂商，索尼想上诉很难', '2018-04-02 20:12:20')
('知识产权：1.西电捷通诉索尼移动WAPI专利侵权案二审宣判：驳回索尼上诉；2.福瑞股份海外专利战告捷 海斯凯尔不得上诉；3.中颖电子：今年迄今又新取得三项国内发明专利；4.中科院首次拟拍卖932件专利 总估价约2.9亿元；5.Oculus VR手套新专利：可以在VR世界中模拟触感；6.专利爆料苹果正在研发MR ...展开全文c', '2018-04-02 20:44:20')
