('猪周期，目前猪肉价格已经在历史低位。猪类资产应该值得长期关注。预计2019年到2020年猪会有一个大幅反转，猪类企业将会获得很好的双轮催动。关注：$温氏股份 sz300498$ $正邦科技 sz002157$ $天邦股份 sz002124$ 等。其中$正邦科技 sz002157$ 股东已经在去年以及今年年初持续增持。后市看高。', '2018-06-03 22:31:32')
('发布了头条文章：《正邦科技002157 ：金叉反弹酝酿重磅利好，下周走势精准预测！》 $正邦科技 sz002157$ #正邦科技 sz002157[股票]#微博股票[超话]#微博股票热议榜#股票分析[超话]#股票最热门# |正邦科技00...', '2018-06-03 02:37:45')
('看来是真不懂最后一个是化工股，不是影视传媒股别看到华谊就觉得是华谊兄弟了A股里有个股票叫正邦科技，看到科技二字高大上，其实是个养猪的', '2001-09-08 21:46:40')
('抱歉，此微博已被作者删除。查看帮助：|为何微博里...', '2018-06-03 02:36:49')
('发布了头条文章：《002157正邦科技：罕见利好爆料 ，开启主升浪！》 \ue627 股票分析 #牛股推荐# #股票推荐# $正邦科技 sz002157$ |002157正邦...', '2018-06-02 04:40:19')
('发布了头条文章：《002157正邦科技：上演财富神话？想多了 涨停背后另藏玄机！》 #财经头条文章# #股市~a股~大盘~股票# #正邦科技 sz002157[股票]# |002157正邦...', '2018-06-02 04:10:04')
('6.1正邦科技6家机构调研', '2018-06-01 06:49:12')
('发布了头条文章：《正邦科技 中航三鑫 智光电气 东方网络：渡劫还是应劫，尽在一搏！》 $正邦科技 sz002157$ $中航三鑫 sz002163$ $智光电气 sz002169$ $东方网络 sz002175$ $上证指数 sh000001$ |正邦科技 ...', '2018-05-31 23:09:15')
('中线1、$喜临门 sh603008$ ：买了这个的人是幸福的，不仅扛过大跌，今天差点新高了，继续持股。其实他也是属于消费概念，做床垫的。2、$正邦科技 sz002157$ ：反包了，继续持股，低吸的已经开始赚钱的，但是我猜很多人昨天割肉了。所以说，没有中线的耐心，就不要做中线股。今天缩量反弹，不能加 ...展开全文c', '2018-05-31 08:37:17')
('4.65元最后补仓2成$正邦科技 sz002157$ ，明天继续跌就止损了。', '2018-05-30 02:38:31')
('实时播报：【快讯：猪肉板块反弹拉升】猪肉板块反弹拉升。截至发稿，罗牛山、禾丰牧业、新五丰、益生股份、龙大肉食、正邦科技、牧原股份、双汇发展等个股均有拉升。', '2018-05-29 21:37:44')
('20180530焦点金股策略：1、    正邦科技： 89天均线已经连续站稳了5天，周二阴线实体较大，短期对该均线位置4.81元附近将再次考验趋势上方233均线阻力较大，5.2-5.3元区域阻力极大。Ø  今日策略：短线破位4.8元考虑被动止盈；中长线持有不动。2、    利欧股份：89月的月线位置在2.44元，一旦到了六 ...展开全文c', '2018-05-29 20:29:04')
